rnk,DEPT_ID,DEPT_TEXT,ARTICLE_NO,shortDescription,longDescription,itemStatus,PRICE,currency,effectiveDate,endDate,basePrice,itemPriceType,tareWeightUom,tareWeight,precision,includesContainer,quantityPricedItem
1,0211,Mat,2000274,HAMBURGER ORIG,HAMBURGER ORIGINAL 160G,ACTIVE,1207,US Dollar,0,2021-09-17 18:38:41.933,false,SELF_SERVICE_CASH,PIECE,1,0,false,true
2,0211,Mat,2000365,HVETEBOLLE 85G,HVETEBOLLE 85G,ACTIVE,14,US Dollar,0,2021-09-17 18:38:41.933,false,SELF_SERVICE_CASH,PIECE,1,0,false,true
3,0211,Mat,2000371,HAMBURGERBR. M,HAMBURGERBR. MONSTER 162G,ACTIVE,214,US Dollar,0,2021-09-17 18:38:41.933,false,SELF_SERVICE_CASH,PIECE,1,0,false,true
4,0211,Mat,2000373,GOURMETWIENER ,GOURMETWIENER 52G STABB.,ACTIVE,1381,US Dollar,0,2021-09-17 18:38:41.933,false,SELF_SERVICE_CASH,PIECE,1,0,false,true
5,0211,Mat,2000437,HAMBURGER KONS,HAMBURGER KONSEPT 36X160G,ACTIVE,1471,US Dollar,0,2021-09-17 18:38:41.933,false,SELF_SERVICE_CASH,PIECE,1,0,false,true
6,0211,Mat,2000446,HAMBURGER ORIG,HAMBURGER ORIGINAL 190G,ACTIVE,1747,US Dollar,0,2021-09-17 18:38:41.933,false,SELF_SERVICE_CASH,PIECE,1,0,false,true
7,0211,Mat,2000511,LANDBRØD FRIBA,LANDBRØD FRIBAKT 650G,ACTIVE,39,US Dollar,0,2021-09-17 18:38:41.933,false,SELF_SERVICE_CASH,PIECE,1,0,false,true
8,0211,Mat,2000522,MUFFINS MILK C,MUFFINS MILK CHOCO 102G AUNT M,ACTIVE,19,US Dollar,0,2021-09-17 18:38:41.933,false,SELF_SERVICE_CASH,PIECE,1,0,false,true
9,0211,Mat,2000529,OST & CHILIPØL,OST & CHILIPØLSE STABBURET,ACTIVE,28,US Dollar,0,2021-09-17 18:38:41.933,false,SELF_SERVICE_CASH,PIECE,1,0,false,true
10,0211,Mat,2000628,LOFF FORMSTEKT,LOFF FORMSTEKT 650G,ACTIVE,39,US Dollar,0,2021-09-17 18:38:41.933,false,SELF_SERVICE_CASH,PIECE,1,0,false,true
1,0212,Tilb. Drikke,2000443,ALI KAFFE HEL ,ALI KAFFE HEL 600G UTZ IP,ACTIVE,89,US Dollar,0,2021-09-17 18:38:41.933,false,SELF_SERVICE_CASH,PIECE,1,0,false,true
2,0212,Tilb. Drikke,2000504,EVERGOOD HEL 6,EVERGOOD HEL 600G,ACTIVE,99,US Dollar,0,2021-09-17 18:38:41.933,false,SELF_SERVICE_CASH,PIECE,1,0,false,true
3,0212,Tilb. Drikke,2000883,ALI KAFFE EX.F,ALI KAFFE EX.FINMALT 1KG UTZ I,ACTIVE,145,US Dollar,0,2021-09-17 18:38:41.933,false,SELF_SERVICE_CASH,PIECE,1,0,false,true
4,0212,Tilb. Drikke,2000991,SJOKOLADEPULVE,SJOKOLADEPULVER 1KG HOT STOP,ACTIVE,131,US Dollar,0,2021-09-17 18:38:41.933,false,SELF_SERVICE_CASH,PIECE,1,0,false,true
5,0212,Tilb. Drikke,2001070,SUKKER STICKS ,SUKKER STICKS HVITT,ACTIVE,105,US Dollar,0,2021-09-17 18:38:41.933,false,SELF_SERVICE_CASH,PIECE,1,0,false,true
6,0212,Tilb. Drikke,2001087,SLUSH JORDBÆR ,SLUSH JORDBÆR 1L BRAINCOOLER,ACTIVE,170,US Dollar,0,2021-09-17 18:38:41.933,false,SELF_SERVICE_CASH,KILOGRAM,0.115,0,false,true
7,0212,Tilb. Drikke,2001091,ALI KAFFE ENKO,ALI KAFFE ENKOPPS AUTOMAT 1KG ,ACTIVE,147,US Dollar,0,2021-09-17 18:38:41.933,false,SELF_SERVICE_CASH,PIECE,1,0,false,true
